date;vendor;category;amount
2025-05-23;Kestrel Software;software;8235.50
2025-11-16;Granite Works Ltd;repairs;100.47
2025-02-10;Northwind Supplies;repairs;4000.50
2025-02-17;Delta Facilities;rent;6149.00
2025-09-09;Larkspur Media;logistics;4515.00
2025-07-08;Northwind Supplies;training;1883.50
2025-10-26;Copperfield Repairs;rent;1476.00
2025-06-17;Delta Facilities;software;4450.21
2025-12-29;Northwind Supplies;repairs;2885.00
2025-10-20;Beacon Print Co;repairs;4950.96
2025-06-02;Kestrel Software;software;1500.00
2025-03-01;Granite Works Ltd;telecom;9896.99
2025-07-10;Pinemark Services;travel;7142.50
2025-12-10;Kestrel Software;repairs;9303.00
2025-01-08;Pinemark Services;logistics;9377.00
2025-11-25;Larkspur Media;training;500.50
2025-06-19;Kestrel Software;logistics;143.00
2025-03-30;Granite Works Ltd;travel;4000.00
2025-07-17;Beacon Print Co;logistics;4155.00
2025-05-14;Copperfield Repairs;software;7500.99
2025-06-11;Northwind Supplies;software;4460.00
2025-12-01;Larkspur Media;stationery;7709.00
2025-09-07;Pinemark Services;software;6772.00
2025-05-16;Kestrel Software;stationery;3860.62
2025-12-13;Delta Facilities;training;4500.00
2025-09-24;Granite Works Ltd;travel;50.00
2025-07-18;Harbor Logistics;telecom;4652.50
2025-12-08;Copperfield Repairs;training;8776.99
2025-05-20;Harbor Logistics;logistics;500.73
2025-11-30;Kestrel Software;telecom;7804.99
2025-08-04;Pinemark Services;telecom;6447.00
2025-06-02;Kestrel Software;repairs;4667.45
2025-07-28;Granite Works Ltd;advertising;5909.99
2025-03-15;Beacon Print Co;logistics;150.50
2025-08-19;Atlas Freight;stationery;4941.99
2025-03-19;Delta Facilities;advertising;6955.99
2025-07-23;Northwind Supplies;travel;1500.00
2025-10-09;Pinemark Services;stationery;4630.00
2025-07-17;Harbor Logistics;rent;4699.44
2025-10-06;Kestrel Software;logistics;5000.00
2025-04-06;Atlas Freight;software;7319.00
2025-01-11;Beacon Print Co;training;4419.13
2025-05-05;Granite Works Ltd;stationery;4500.00
2025-06-22;Larkspur Media;advertising;1605.00
2025-04-11;Copperfield Repairs;rent;4954.00
2025-10-14;Kestrel Software;stationery;5140.00
2025-10-08;Granite Works Ltd;telecom;7124.50
2025-10-23;Delta Facilities;stationery;4145.99
2025-11-14;Atlas Freight;rent;3703.00
2025-03-28;Atlas Freight;software;5000.50
2025-10-17;Beacon Print Co;repairs;8446.00
2025-08-21;Atlas Freight;telecom;4422.45
2025-11-19;Delta Facilities;logistics;7383.50
2025-03-31;Kestrel Software;logistics;4781.99
2025-12-28;Kestrel Software;logistics;2754.50
2025-07-09;Granite Works Ltd;advertising;4492.65
2025-04-26;Northwind Supplies;rent;200.00
2025-01-08;Larkspur Media;stationery;2000.89
2025-05-03;Copperfield Repairs;software;1500.50
2025-07-19;Harbor Logistics;rent;4960.53
2025-11-24;Kestrel Software;software;2500.00
2025-08-26;Copperfield Repairs;training;2500.00
2025-10-20;Larkspur Media;rent;3782.00
2025-09-10;Atlas Freight;advertising;2214.99
2025-01-26;Northwind Supplies;rent;4673.00
2025-12-20;Granite Works Ltd;software;9462.00
2025-04-25;Delta Facilities;rent;4732.50
2025-05-13;Larkspur Media;telecom;200.50
2025-06-16;Northwind Supplies;stationery;4904.54
2025-12-16;Larkspur Media;rent;4729.00
2025-10-10;Kestrel Software;software;9367.88
2025-08-07;Harbor Logistics;training;4806.50
2025-02-25;Pinemark Services;stationery;4731.00
2025-05-25;Northwind Supplies;advertising;4531.00
2025-03-17;Kestrel Software;logistics;6116.99
2025-05-01;Copperfield Repairs;logistics;4500.00
2025-09-28;Delta Facilities;training;2000.50
2025-02-06;Delta Facilities;rent;4500.99
2025-04-21;Delta Facilities;logistics;150.00
2025-09-11;Copperfield Repairs;training;500.83
