date;vendor;category;amount
2025-03-18;Pinemark Services;rent;62.84
2025-12-13;Kestrel Software;telecom;16.91
2025-02-27;Kestrel Software;training;4.55
2025-10-04;Harbor Logistics;telecom;56.28
2025-10-12;Copperfield Repairs;software;2725.02
2025-02-24;Atlas Freight;telecom;100603.25
2025-01-14;Delta Facilities;software;2726.95
2025-02-12;Granite Works Ltd;rent;3620.51
2025-09-13;Atlas Freight;software;5091.39
2025-07-05;Kestrel Software;stationery;52.12
2025-05-18;Northwind Supplies;training;413.70
2025-04-13;Beacon Print Co;repairs;5598.55
2025-12-01;Pinemark Services;advertising;1316.68
2025-03-14;Atlas Freight;stationery;26742.21
2025-02-03;Kestrel Software;rent;1888.87
2025-12-22;Granite Works Ltd;telecom;4863.15
2025-02-25;Harbor Logistics;rent;38.04
2025-07-26;Copperfield Repairs;telecom;1921.20
2025-06-16;Beacon Print Co;logistics;1398.72
2025-01-14;Delta Facilities;advertising;75.76
2025-08-05;Copperfield Repairs;repairs;507.77
2025-11-29;Pinemark Services;stationery;9.50
2025-10-24;Pinemark Services;repairs;5734.19
2025-06-23;Atlas Freight;training;1750.87
2025-08-14;Northwind Supplies;rent;9709.90
2025-09-24;Larkspur Media;training;285.88
2025-11-23;Beacon Print Co;travel;0.44
2025-08-10;Larkspur Media;advertising;4.07
2025-11-28;Harbor Logistics;logistics;164.53
2025-04-16;Larkspur Media;repairs;1733.61
2025-08-11;Beacon Print Co;repairs;23453.70
2025-02-13;Kestrel Software;logistics;576.76
2025-08-01;Beacon Print Co;advertising;8.80
2025-03-24;Atlas Freight;repairs;41.23
2025-02-27;Beacon Print Co;rent;1152.69
2025-07-13;Larkspur Media;training;1997.31
2025-05-02;Delta Facilities;software;14.46
2025-09-16;Northwind Supplies;travel;1145.00
2025-02-06;Kestrel Software;telecom;7618.89
2025-07-06;Beacon Print Co;travel;4326.41
2025-11-06;Beacon Print Co;advertising;104.75
2025-03-10;Harbor Logistics;advertising;90.20
2025-05-22;Copperfield Repairs;rent;283.80
2025-04-05;Beacon Print Co;telecom;75.85
2025-05-20;Harbor Logistics;repairs;2023.90
2025-10-02;Pinemark Services;stationery;18.19
2025-08-19;Delta Facilities;software;20.62
2025-11-30;Larkspur Media;software;3186.81
2025-06-05;Delta Facilities;rent;8462.51
2025-01-12;Northwind Supplies;training;597.94
2025-08-03;Larkspur Media;telecom;3276.87
2025-08-14;Larkspur Media;advertising;1096.46
2025-03-27;Atlas Freight;software;155.09
2025-03-02;Harbor Logistics;training;581.29
2025-04-26;Beacon Print Co;advertising;34370.49
2025-06-22;Granite Works Ltd;repairs;469.36
2025-04-14;Larkspur Media;rent;250.43
2025-07-25;Copperfield Repairs;stationery;12168.25
2025-09-22;Kestrel Software;software;6.02
2025-10-20;Kestrel Software;stationery;2037.07
2025-08-20;Copperfield Repairs;software;193.85
2025-09-07;Atlas Freight;advertising;77.03
2025-02-23;Granite Works Ltd;software;131.47
2025-03-25;Larkspur Media;telecom;14821.33
2025-05-14;Harbor Logistics;travel;9367.44
2025-08-08;Delta Facilities;stationery;616.68
2025-12-06;Granite Works Ltd;stationery;78.15
2025-03-11;Larkspur Media;travel;1159.07
2025-05-29;Larkspur Media;repairs;257.82
2025-12-09;Larkspur Media;software;477.72
2025-08-14;Pinemark Services;stationery;1394.45
2025-05-25;Beacon Print Co;repairs;1433.36
2025-01-02;Harbor Logistics;logistics;763.19
2025-07-27;Kestrel Software;stationery;19489.35
2025-12-18;Granite Works Ltd;telecom;3817.54
2025-06-13;Copperfield Repairs;training;1106.20
2025-12-03;Beacon Print Co;telecom;147.22
2025-06-27;Harbor Logistics;logistics;6575.87
2025-10-18;Northwind Supplies;repairs;79.15
2025-01-23;Pinemark Services;travel;385.05
2025-06-28;Delta Facilities;telecom;7.85
2025-09-10;Beacon Print Co;advertising;634.53
2025-10-10;Harbor Logistics;training;1805.02
2025-03-25;Pinemark Services;rent;1591.49
2025-01-28;Harbor Logistics;software;501.29
2025-01-29;Atlas Freight;training;108.79
2025-05-13;Atlas Freight;rent;64.79
2025-08-31;Beacon Print Co;logistics;0.96
2025-07-26;Kestrel Software;travel;140.68
2025-10-05;Copperfield Repairs;rent;1505.13
2025-04-17;Atlas Freight;advertising;86.20
2025-05-21;Larkspur Media;software;8036.79
2025-08-13;Beacon Print Co;training;39560.14
2025-04-06;Beacon Print Co;rent;4.66
2025-06-08;Pinemark Services;rent;3439.10
2025-08-26;Northwind Supplies;travel;827.67
2025-02-28;Pinemark Services;rent;147.50
2025-09-05;Harbor Logistics;software;10.29
2025-09-07;Kestrel Software;training;27626.24
2025-03-29;Larkspur Media;repairs;779.60
2025-10-08;Delta Facilities;travel;108523.07
2025-08-27;Atlas Freight;training;751.32
2025-10-21;Granite Works Ltd;training;1011.34
2025-03-28;Harbor Logistics;advertising;105.75
2025-03-18;Beacon Print Co;travel;150.65
2025-06-21;Atlas Freight;telecom;157.70
2025-12-02;Granite Works Ltd;stationery;2143.85
2025-11-03;Harbor Logistics;logistics;999.84
2025-02-18;Harbor Logistics;stationery;172.59
2025-10-16;Kestrel Software;repairs;120704.00
2025-11-30;Copperfield Repairs;training;6539.97
2025-11-15;Kestrel Software;rent;4283.83
2025-03-02;Northwind Supplies;repairs;249.21
2025-09-23;Kestrel Software;travel;43.27
2025-02-28;Pinemark Services;stationery;7.18
2025-09-06;Atlas Freight;advertising;15.21
2025-06-23;Atlas Freight;repairs;9610.53
2025-04-02;Harbor Logistics;training;97.64
2025-08-11;Larkspur Media;stationery;458.32
2025-06-21;Northwind Supplies;advertising;1072.99
2025-05-24;Larkspur Media;stationery;56234.59
2025-01-04;Beacon Print Co;repairs;328.97
2025-08-28;Delta Facilities;telecom;2617.32
2025-05-12;Atlas Freight;logistics;9297.15
2025-02-05;Delta Facilities;stationery;730.80
2025-08-29;Copperfield Repairs;repairs;13.27
2025-02-14;Copperfield Repairs;stationery;143.67
2025-01-15;Larkspur Media;rent;16033.09
2025-12-24;Atlas Freight;advertising;291.50
2025-11-23;Northwind Supplies;logistics;21405.00
2025-10-23;Beacon Print Co;logistics;2260.36
2025-08-17;Northwind Supplies;repairs;1441.74
2025-03-26;Northwind Supplies;telecom;60.44
2025-04-14;Copperfield Repairs;repairs;1360.77
2025-11-18;Northwind Supplies;rent;1114.78
2025-01-04;Copperfield Repairs;travel;8131.23
2025-08-31;Copperfield Repairs;repairs;243.75
2025-07-15;Delta Facilities;rent;17648.94
2025-05-30;Kestrel Software;advertising;70.29
2025-03-18;Harbor Logistics;logistics;1358.07
2025-12-24;Beacon Print Co;stationery;369.73
2025-08-18;Beacon Print Co;stationery;1045.54
2025-08-17;Granite Works Ltd;advertising;23985.91
2025-09-14;Harbor Logistics;stationery;15.16
2025-02-23;Delta Facilities;rent;74.71
2025-06-13;Granite Works Ltd;advertising;6.89
2025-06-01;Kestrel Software;rent;38801.27
2025-07-21;Granite Works Ltd;advertising;245.77
2025-04-27;Northwind Supplies;logistics;1150.93
2025-05-17;Copperfield Repairs;rent;4352.68
2025-09-15;Copperfield Repairs;telecom;1429.69
2025-01-22;Northwind Supplies;rent;35166.34
2025-08-02;Harbor Logistics;advertising;634.83
2025-12-04;Delta Facilities;telecom;975.42
2025-02-13;Kestrel Software;logistics;2979.07
2025-10-25;Kestrel Software;stationery;1113.38
2025-03-25;Pinemark Services;travel;1055.52
2025-06-20;Harbor Logistics;logistics;1593.03
2025-06-07;Atlas Freight;software;39.24
2025-12-25;Larkspur Media;software;91.23
2025-03-27;Pinemark Services;logistics;7293.10
2025-10-19;Harbor Logistics;rent;9552.48
